     Survived  Pclass     Sex    Age  Siblings/Spouses  Parents/Children      Fare
0           0       3    male  22.00                 1                 0    7.2500
1           1       1  female  38.00                 1                 0   71.2833
2           1       3  female  26.00                 0                 0    7.9250
3           1       1  female  35.00                 1                 0   53.1000
4           0       3    male  35.00                 0                 0    8.0500
5           0       3    male  27.00                 0                 0    8.4583
6           0       1    male  54.00                 0                 0   51.8625
7           0       3    male   2.00                 3                 1   21.0750
8           1       3  female  27.00                 0                 2   11.1333
9           1       2  female  14.00                 1                 0   30.0708
10          1       3  female   4.00                 1                 1   16.7000
11          1       1  female  58.00                 0                 0   26.5500
12          0       3    male  20.00                 0                 0    8.0500
13          0       3    male  39.00                 1                 5   31.2750
14          0       3  female  14.00                 0                 0    7.8542
15          1       2  female  55.00                 0                 0   16.0000
16          0       3    male   2.00                 4                 1   29.1250
17          1       2    male  23.00                 0                 0   13.0000
18          0       3  female  31.00                 1                 0   18.0000
19          1       3  female  22.00                 0                 0    7.2250
20          0       2    male  35.00                 0                 0   26.0000
21          1       2    male  34.00                 0                 0   13.0000
22          1       3  female  15.00                 0                 0    8.0292
23          1       1    male  28.00                 0                 0   35.5000
24          0       3  female   8.00                 3                 1   21.0750
25          1       3  female  38.00                 1                 5   31.3875
26          0       3    male  26.00                 0                 0    7.2250
27          0       1    male  19.00                 3                 2  263.0000
28          1       3  female  24.00                 0                 0    7.8792
29          0       3    male  23.00                 0                 0    7.8958
30          0       1    male  40.00                 0                 0   27.7208
31          1       1  female  48.00                 1                 0  146.5208
32          1       3  female  18.00                 0                 0    7.7500
33          0       2    male  66.00                 0                 0   10.5000
34          0       1    male  28.00                 1                 0   82.1708
35          0       1    male  42.00                 1                 0   52.0000
36          1       3    male  18.00                 0                 0    7.2292
37          0       3    male  21.00                 0                 0    8.0500
38          0       3  female  18.00                 2                 0   18.0000
39          1       3  female  14.00                 1                 0   11.2417
40          0       3  female  40.00                 1                 0    9.4750
41          0       2  female  27.00                 1                 0   21.0000
42          1       2  female   3.00                 1                 2   41.5792
43          1       3  female  19.00                 0                 0    7.8792
44          0       3    male  30.00                 0                 0    8.0500
45          0       3    male  20.00                 1                 0   15.5000
46          1       3  female  27.00                 0                 0    7.7500
47          0       3    male  16.00                 2                 0   21.6792
48          0       3  female  18.00                 1                 0   17.8000
49          0       3    male   7.00                 4                 1   39.6875
50          0       3    male  21.00                 0                 0    7.8000
51          1       1  female  49.00                 1                 0   76.7292
52          1       2  female  29.00                 1                 0   26.0000
53          0       1    male  65.00                 0                 1   61.9792
54          1       1    male  46.00                 0                 0   35.5000
55          1       2  female  21.00                 0                 0   10.5000
